[2022-01-13T14:08:55.171] [INFO] default - [::1 POST /basicsRouter/routerpage 200 12ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
[2022-01-13T14:11:50.183] [INFO] default - [::1 POST /basicsRouter/routerpage 200 13ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
[2022-01-13T14:12:55.820] [INFO] default - [::1 POST /basicsRouter/routerpage 200 11ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
[2022-01-13T14:13:10.885] [INFO] default - [::1 POST /basicsRouter/routerpage 200 12ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
[2022-01-13T14:14:10.518] [INFO] default - [::1 POST /basicsRouter/alluserpage 200 14ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
[2022-01-13T14:14:11.393] [INFO] default - [::1 POST /basicsRouter/getAllFormList 200 11ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
[2022-01-13T14:18:01.807] [INFO] default - [::1 POST /basicsRouter/routerpage 200 13ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
[2022-01-13T14:18:11.869] [INFO] default - [::1 POST /basicsRouter/allRoleManagement 200 10ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
[2022-01-13T14:18:13.440] [INFO] default - [::1 POST /basicsRouter/routerpage 200 12ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
[2022-01-13T14:18:13.448] [INFO] default - [::1 POST /basicsRouter/allRolePermissions 200 15ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
[2022-01-13T14:18:18.132] [INFO] default - [::1 POST /basicsRouter/getAllFormList 200 11ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
[2022-01-13T14:18:19.669] [INFO] default - [::1 POST /basicsRouter/allRoleManagement 200 11ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
[2022-01-13T14:18:22.134] [INFO] default - [::1 POST /basicsRouter/routerpage 200 13ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
[2022-01-13T14:18:22.150] [INFO] default - [::1 POST /basicsRouter/allRolePermissions 200 26ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
[2022-01-13T14:19:24.931] [INFO] default - [::1 POST /basicsRouter/getAllFormList 200 14ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36]
